Date,ETHA_Net_Flow_USD,ETHB_Net_Flow_USD,FETH_Net_Flow_USD,ETHW_Net_Flow_USD,TETH_Net_Flow_USD,ETHV_Net_Flow_USD,QETH_Net_Flow_USD,EZET_Net_Flow_USD,ETHE_Net_Flow_USD,ETH_Net_Flow_USD,Total_Net_Flow_USD,Source_URL
2025-01-28,0,,0,0,0,0,0,0,0,0,0,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-29,9500000,,5500000,-4000000,0,0,0,0,-15700000,0,-4700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-30,79900000,,15400000,0,0,0,0,0,-40300000,12800000,67800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-31,57300000,,0,0,0,2400000,0,0,-31900000,0,27800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-03,0,,49700000,0,5200000,0,0,0,15900000,12800000,83600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-04,276200000,,27500000,4099999.9999999995,0,0,0,0,0,0,307800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-05,0,,20100000,0,0,0,0,0,-7200000,5200000,18100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-06,10700000,,0,0,0,0,0,0,0,0,10700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-07,0,,0,0,0,0,0,0,0,0,0,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-10,0,,0,0,0,0,0,0,-22500000,0,-22500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-11,12600000,,0,0,0,0,0,0,0,0,12600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-12,0,,-10700000,0,0,0,0,0,-30200000,0,-40900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-13,12000000,,4600000,0,0,0,0,0,-3800000,0,12800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-14,0,,11700000,0,0,0,0,0,0,0,11700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-18,0,,4600000,0,0,0,0,0,0,0,4600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-19,0,,24500000,0,0,0,0,0,-5500000,0,19000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-20,0,,-2800000,0,0,0,0,0,-10300000,0,-13100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-21,0,,0,-8900000,0,0,0,0,0,0,-8900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-24,-48200000,,0,-9700000,0,0,0,0,-15400000,-4700000,-78000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-25,0,,-12500000,-8199999.999999999,0,0,0,0,-27100000,-2300000,-50100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-26,-69800000,,-18400000,-2800000,0,0,0,0,-3300000,0,-94300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-27,-26100000,,-25500000,0,0,0,0,0,-19600000,0,-71200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-02-28,-30200000,,0,0,0,0,0,0,-11700000,0,-41900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-03,-16100000.000000002,,0,4000000,0,0,0,0,0,0,-12100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-04,-26300000,,21700000,0,0,0,0,0,10700000,8500000,14600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-05,0,,0,0,0,0,0,0,-63300000,0,-63300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-06,-10000000,,0,0,0,0,0,0,0,0,-10000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-07,-11200000,,-11900000,0,0,0,0,0,0,0,-23100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-10,0,,-23700000,-1600000,-3500000,0,0,0,-4800000,-3900000,-37500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-11,-11800000,,-9800000,0,0,0,0,0,0,0,-21600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-12,0,,-3700000,0,-1700000,0,0,-1400000,0,-3500000,-10300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-13,-15100000,,-12500000,0,-500000,1400000,0,0,-41700000,-5200000,-73600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-14,-36400000,,-11600000,0,0,0,1100000,0,0,0,-46900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-17,0,,0,0,0,0,0,0,-7300000,0,-7300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-18,-40200000,,-3300000,0,0,0,0,0,0,-9300000,-52800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-19,-12900000,,-2000000,0,700000,0,0,0,10200000,-7700000,-11700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-20,-9000000,,-3500000,0,0,0,0,0,0,0,-12500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-21,-11900000,,0,0,0,0,0,0,0,-6700000,-18600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-24,0,,0,0,0,0,0,0,0,0,0,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-25,0,,0,0,0,0,-1500000,0,0,-1800000,-3300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-26,0,,-1000000,0,0,0,0,0,0,-4900000,-5900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-27,0,,-2000000,0,0,-2200000,0,0,0,0,-4200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-28,0,,0,0,0,0,0,0,4700000,0,4700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-03-31,0,,6400000,0,0,0,0,0,0,0,6400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-01,0,,0,-2600000,1700000,0,0,0,0,-2700000,-3600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-02,-20200000,,0,0,0,0,0,0,-31100000,0,-51300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-03,0,,0,-3600000,0,0,0,0,0,0,-3600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-04,0,,0,0,0,0,0,2100000,0,0,2100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-07,0,,0,0,0,0,0,0,0,0,0,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-08,0,,-3300000,0,0,0,0,0,0,0,-3300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-09,-5500000,,-5700000,0,0,0,0,0,0,0,-11200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-10,6400000,,-36000000,-2500000,0,-4400000,0,0,-2300000,0,-38800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-11,0,,0,-3100000,0,0,0,0,-26100000,0,-29200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-14,0,,-7800000,0,1800000,0,0,0,0,0,-6000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-15,0,,-3600000,0,0,0,0,0,-10600000,0,-14200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-16,-4300000,,0,0,0,0,0,-1800000,-8199999.999999999,2200000,-12100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-17,0,,0,0,0,0,0,0,0,0,0,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-21,0,,0,0,0,0,0,0,-25400000,0,-25400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-22,0,,32700000.000000004,6100000,0,0,0,0,0,0,38800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-23,-30300000,,0,0,0,0,0,0,0,6400000,-23900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-24,40000000,,0,5100000,4099999.9999999995,2600000,0,0,-6600000,18300000,63500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-25,54400000,,35900000,1800000,0,0,1800000,0,0,10200000,104100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-28,67500000,,0,-3400000,0,0,0,0,0,0,64099999.99999999,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-29,0,,25500000,0,0,0,0,0,-7100000,0,18400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-04-30,0,,5800000,-1000000,0,0,0,0,-7100000,0,-2300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-05-01,0,,6500000,0,0,0,0,0,-12000000,12000000,6500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-05-02,20100000,,0,0,0,0,0,0,0,0,20100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-05-05,0,,0,0,0,0,0,0,0,0,0,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-05-06,0,,-17900000,0,0,0,0,0,0,0,-17900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-05-07,-21800000,,0,0,0,0,0,0,0,0,-21800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-05-08,0,,-19300000,0,0,0,0,0,0,3200000,-16100000.000000002,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-05-09,17600000,,0,0,0,0,0,0,0,0,17600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-05-12,0,,-8000000,0,0,0,0,0,-9600000,0,-17600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-05-13,0,,0,0,0,3000000,0,3100000,0,7400000,13500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-05-14,57600000,,5900000,0,0,0,0,0,0,0,63500000,https://farside.co.uk/ethereum-etf-flow-all-data/
